Rank,Pokemon,Usage %,Raw Count,Raw %,Real Count,Real %,Generation
394,Vespiquen,0.04109,827,0.041,599,0.038,4
395,Noctowl,0.04069,819,0.041,636,0.040,2
396,Hattrem,0.03831,771,0.038,615,0.039,8
397,Greedent,0.03692,743,0.037,555,0.035,8
398,Mightyena,0.03677,740,0.037,539,0.034,3
399,Bombirdier,0.03647,734,0.036,571,0.036,9
400,Electrode,0.03627,730,0.036,608,0.038,8
401,Electabuzz,0.03533,711,0.035,546,0.034,1
402,Kricketune,0.03448,694,0.034,569,0.036,4
403,Granbull,0.03339,672,0.033,525,0.033,2
404,Wyrdeer,0.03304,665,0.033,498,0.031,8
405,Swalot,0.03269,658,0.033,527,0.033,3
406,Dewgong,0.03125,629,0.031,466,0.029,1
407,Persian,0.03031,610,0.030,484,0.030,7
408,Swanna,0.02907,585,0.029,462,0.029,5
409,Ivysaur,0.02892,582,0.029,413,0.026,1
410,Cottonee,0.02852,574,0.029,428,0.027,5
411,Hypno,0.02758,555,0.028,392,0.025,1
412,Whiscash,0.02683,540,0.027,431,0.027,3
413,Rotom,0.02613,526,0.026,416,0.026,4
414,Banette,0.02604,524,0.026,394,0.025,6
415,Virizion,0.02574,518,0.026,354,0.022,5
416,Sunflora,0.02559,515,0.026,390,0.024,2
417,Misdreavus,0.02544,512,0.025,423,0.027,2
418,Wugtrio,0.02499,503,0.025,354,0.022,9
419,Piloswine,0.02355,474,0.024,410,0.026,2
420,Rotom-Fan,0.02355,474,0.024,381,0.024,4
421,Gurdurr,0.02335,470,0.023,372,0.023,5
422,Plusle,0.02325,468,0.023,370,0.023,3
423,Nosepass,0.02161,435,0.022,370,0.023,3
424,Dugtrio-Alola,0.02141,431,0.021,344,0.022,7
425,Qwilfish,0.02137,430,0.021,363,0.023,8
426,Delibird,0.02067,416,0.021,311,0.019,2
427,Gligar,0.02052,413,0.021,365,0.023,2
428,Gumshoos,0.02052,413,0.021,309,0.019,7
429,Vigoroth,0.02007,404,0.020,283,0.018,3
430,Grumpig,0.01858,374,0.019,271,0.017,3
431,Oinkologne,0.01699,342,0.017,249,0.016,9
432,Charjabug,0.01684,339,0.017,302,0.019,7
433,Passimian,0.01664,335,0.017,264,0.017,7
434,Basculin,0.01575,317,0.016,263,0.016,8
435,Swinub,0.01565,315,0.016,243,0.015,2
436,Starly,0.01431,288,0.014,242,0.015,4
437,Dragonair,0.01421,286,0.014,219,0.014,1
438,Oricorio-Pa'u,0.01322,266,0.013,188,0.012,7
439,Luvdisc,0.01242,250,0.012,184,0.012,3
440,Magmar,0.01212,244,0.012,186,0.012,1
441,Clefairy,0.01212,244,0.012,194,0.012,1
442,Stantler,0.01207,243,0.012,189,0.012,2
443,Riolu,0.01202,242,0.012,158,0.010,4
444,Oranguru,0.01183,238,0.012,188,0.012,7
445,Glalie,0.01163,234,0.012,193,0.012,6
446,Surskit,0.01163,234,0.012,189,0.012,3
447,Eevee,0.01133,228,0.011,151,0.009,7
448,Minun,0.01078,217,0.011,181,0.011,3
449,Duosion,0.01058,213,0.011,171,0.011,5
450,Pineco,0.01024,206,0.010,184,0.012,2
451,Crocalor,0.00989,199,0.010,151,0.009,9
452,Gloom,0.00979,197,0.010,153,0.010,1
453,Trapinch,0.00924,186,0.009,148,0.009,3
454,Carkol,0.00924,186,0.009,168,0.011,8
455,Bayleef,0.00924,186,0.009,167,0.010,2
456,Torracat,0.00914,184,0.009,144,0.009,7
457,Stonjourner,0.00909,183,0.009,140,0.009,8
458,Servine,0.00904,182,0.009,132,0.008,5
459,Buizel,0.00894,180,0.009,146,0.009,4
460,Phanpy,0.00889,179,0.009,117,0.007,2
461,Magikarp,0.00850,171,0.008,141,0.009,1
462,Munchlax,0.00805,162,0.008,133,0.008,4
463,Girafarig,0.00785,158,0.008,108,0.007,2
464,Naclstack,0.00755,152,0.008,120,0.008,9
465,Lumineon,0.00745,150,0.007,124,0.008,4
466,Graveler,0.00735,148,0.007,116,0.007,7
467,Poliwhirl,0.00730,147,0.007,112,0.007,1
468,Squirtle,0.00696,140,0.007,101,0.006,1
469,Tauros-Paldea-Combat,0.00691,139,0.007,113,0.007,9
470,Mudkip,0.00686,138,0.007,130,0.008,3
471,Calyrex,0.00666,134,0.007,99,0.006,8
472,Doduo,0.00656,132,0.007,88,0.006,1
473,Glimmet,0.00651,131,0.007,114,0.007,9
474,Wartortle,0.00641,129,0.006,99,0.006,1
475,Combusken,0.00641,129,0.006,102,0.006,3
476,Fraxure,0.00621,125,0.006,112,0.007,5
477,Marill,0.00616,124,0.006,101,0.006,2
478,Diglett,0.00581,117,0.006,104,0.007,7
479,Sliggoo-Hisui,0.00576,116,0.006,89,0.006,8
480,Sneasel,0.00571,115,0.006,88,0.006,8
481,Jigglypuff,0.00566,114,0.006,94,0.006,1
482,Metang,0.00561,113,0.006,82,0.005,3
483,Braixen,0.00537,108,0.005,63,0.004,6
484,Shellos,0.00527,106,0.005,67,0.004,4
485,Morgrem,0.00517,104,0.005,86,0.005,8
486,Bulbasaur,0.00512,103,0.005,89,0.006,1
487,Shroomish,0.00482,97,0.005,66,0.004,3
488,Graveler-Alola,0.00477,96,0.005,79,0.005,7
489,Tarountula,0.00472,95,0.005,85,0.005,9
490,Shelgon,0.00472,95,0.005,65,0.004,3
491,Numel,0.00457,92,0.005,81,0.005,3
492,Vulpix,0.00447,90,0.004,68,0.004,7
493,Oinkologne-F,0.00432,87,0.004,70,0.004,9
494,Wooper,0.00432,87,0.004,61,0.004,9
495,Ralts,0.00432,87,0.004,70,0.004,3
496,Sunkern,0.00422,85,0.004,82,0.005,2
497,Elekid,0.00417,84,0.004,74,0.005,2
498,Psyduck,0.00417,84,0.004,67,0.004,1
499,Magnemite,0.00412,83,0.004,70,0.004,1
500,Corphish,0.00393,79,0.004,66,0.004,3
501,Porygon,0.00393,79,0.004,61,0.004,1
502,Croconaw,0.00383,77,0.004,58,0.004,2
503,Floragato,0.00378,76,0.004,56,0.004,9
504,Wattrel,0.00368,74,0.004,53,0.003,9
505,Bonsly,0.00368,74,0.004,63,0.004,4
506,Arctibax,0.00368,74,0.004,56,0.004,9
507,Charmeleon,0.00363,73,0.004,63,0.004,1
508,Voltorb,0.00353,71,0.004,59,0.004,8
509,Wooper-Paldea,0.00348,70,0.003,66,0.004,9
510,Solosis,0.00343,69,0.003,55,0.003,5
511,Pichu,0.00343,69,0.003,46,0.003,2
512,Gastly,0.00343,69,0.003,66,0.004,1
513,Scraggy,0.00343,69,0.003,61,0.004,5
514,Grotle,0.00333,67,0.003,52,0.003,4
515,Cleffa,0.00333,67,0.003,64,0.004,2
516,Swadloon,0.00333,67,0.003,50,0.003,5
517,Zorua,0.00328,66,0.003,26,0.002,8
